name,lat,lng,FSA,RATINGS
Beverly Glen,43.7986425,-79.3231425,M1W,9.2
Fairglen,43.7850352,-79.3221888,M1W,8.2
David Lewis,43.8091302,-79.3179862,M1W,8.9
Sir Samuel B Steele,43.8070883,-79.3272799,M1W,7.3
Thomas L Wells,43.824334,-79.2262145,M1X,8.4
Brookside,43.8301419,-79.2335726,M1X,7.1
Shaughnessy,43.7704422,-79.3516014,M2J,5.5
Dunlace,43.7622441,-79.3704177,M2L,8.6
Harrison,33.7021467,-117.7148178,M2L,6.8
R J Lang,43.7837926,-79.4266087,M2M,1.9
Avondale,43.7598554,-79.4001547,M2N,5.9
Owen,43.7493601,-79.3926242,M2P,7.9
Pleasant,43.7898748,-79.4340807,M2R,6.3
Rockford,43.7858219,-79.4523692,M2R,6.3
Denlow,43.7456819,-79.3641527,M3B,9.3
Rippleton,43.7409428,-79.36002,M3B,7.7
Gateway,43.7119193,-79.3306448,M3C,5.6
Grenoble,43.7156302,-79.3329941,M3C,4.1
Summit Heights,43.7413884,-79.4301773,M3H,8.8
Dublin Heights,43.7852097,-79.6108171,M3H,6.3
Faywood Arts,43.7395533,-79.4472295,M3H,5.5
George Webster,43.7014672,-79.2992832,M4B,5
Earl Haig,43.6815764,-79.3202417,M4C,8
Gledhill,43.6875045,-79.3091041,M4C,4.5
Earl Beatty,43.6859133,-79.3212939,M4C,6.6
Kimberley,43.6826286,-79.2991311,M4E,6.5
Williamson Road,43.6745197,-79.297473,M4E,6.7
Adam Beck,31.257365,-85.661342,M4E,7.8
Balmy Beach,41.5652934,-70.4712467,M4E,7.6
Northlea,43.7145182,-79.3696137,M4G,8.3
Bennington Heights,43.693568,-79.369623,M4G,7.7
Blake Street,43.6718149,-79.3384795,M4J,4.7
Wilkinson,43.6820666,-79.3376704,M4J,7.6
Pape Avenue,43.6703605,-79.3418968,M4K,8
Jackman Avenue,43.6806588,-79.3539386,M4K,7.9
Withrow Avenue,43.6706144,-79.3520886,M4K,9
Frankland,44.9867676,-93.3030228,M4K,7.8
Kew Beach,43.6684728,-79.3027305,M4L,5.9
